sigma,neither_unsafe,neither_integrity,neither_club,neither_falsebeard,screening_only_unsafe,screening_only_integrity,screening_only_club,screening_only_falsebeard,fines_only_unsafe,fines_only_integrity,fines_only_club,fines_only_falsebeard,both_unsafe,both_integrity,both_club,both_falsebeard
0.5,0.053399494726438824,0.08743015433956182,0.015367656798777066,0.4664862421818395,0.0899182888714175,0.9199386286506469,0.4158369744349806,0.07398810679721839,0.06778839881392863,0.9951706853771063,0.46852317773104074,0.004684062624350178,0.06803097652156152,0.9973627355335315,0.4710455156232338,0.0025885680005825243
0.55,0.053399494726438824,0.08011875807084053,0.015367656798777066,0.4664862421818395,0.08835385808368834,0.9122462518225521,0.4073957413905165,0.07281459794806042,0.06774907006214256,0.9940529915494457,0.4671525646670801,0.005233912602170676,0.06804510630999913,0.9962627860158725,0.4694777445373893,0.0033231477219209187
0.6,0.053399494726438824,0.07393583215235221,0.015367656798777066,0.4664862421818395,0.08621635622734694,0.9039480123463058,0.3963162188000944,0.07170135488289339,0.06749761498138508,0.9924797180123992,0.4651755388144245,0.006051363819121791,0.06823417548918381,0.994308994389675,0.4681985806354171,0.004623473008285879
0.65,0.053399494726438824,0.06863883501639474,0.015367656798777066,0.4664862421818395,0.08372896688490865,0.8959323390358125,0.386703999529609,0.07059215715692824,0.06691397864502745,0.9900466588722325,0.4622277334230899,0.007366731099799263,0.06834998918501012,0.9921281482826981,0.4672627685260092,0.005892717492205936
0.7,0.053399494726438824,0.06405008416951638,0.015367656798777066,0.4664862421818395,0.08106346731314834,0.8881126977610213,0.37811791868793554,0.06953531176583277,0.0659503753584578,0.986012437389232,0.45789644597608115,0.00956811224793024,0.06831217966528597,0.9894079833188915,0.4651461103885328,0.007340504979574632
0.75,0.053399494726438824,0.060036434470285914,0.015367656798777066,0.4664862421818395,0.07851542497390562,0.8791456486196333,0.3693252173608025,0.06919703234433791,0.06464711856950507,0.9789003639729708,0.4517795485181269,0.013398916073823387,0.06781560287670353,0.9852466925248421,0.46062452002154003,0.009482788594815637
0.8,0.053399494726438824,0.056496146515775426,0.015367656798777066,0.4664862421818395,0.07630373785045881,0.8650937780957364,0.35821511805459516,0.07137955921420625,0.06288042046714375,0.9641536423226349,0.4435099303638244,0.021279755101423093,0.06667491675821148,0.9787337622032976,0.4543613124320632,0.012722978383075881
0.85,0.053399494726438824,0.05335014245394838,0.015367656798777066,0.4664862421818395,0.07558532521732608,0.8324486734036652,0.3334233531963951,0.08084893305603302,0.06039438487255519,0.9144979906270049,0.41984904074775187,0.047619220067768205,0.06489832159325581,0.9663659008504464,0.4464798004454072,0.018832523741237644
0.9,0.053399494726438824,0.05053602922641157,0.015367656798777066,0.4664862421818395,0.07746374349556588,0.6833881959654915,0.26160212179224124,0.1386967928614334,0.06496628108390345,0.526315789473684,0.19828823821777647,0.21088725920146414,0.06334064653141236,0.9380838335794383,0.43081977772436525,0.032463410968032604
0.95,0.053399494726438824,0.04800391860573949,0.015367656798777066,0.4664862421818395,0.06902461764693615,0.1238184869974209,0.05969332251152063,0.48461963335933333,0.05419815386269751,0.10556232238092365,0.040434195421792316,0.44105323008713626,0.06688144232895105,0.6849734396454873,0.28992227683743754,0.1449601721082276
1.0,0.053399494726438824,0.04571344389745459,0.015367656798777066,0.4664862421818395,0.053399494726438824,0.04571344389745459,0.015367656798777066,0.4664862421818395,0.053399494726438824,0.04571344389745459,0.015367656798777066,0.4664862421818395,0.053399494726438824,0.04571344389745459,0.015367656798777066,0.4664862421818395
